Exposure,Sample_type,Organism,Full_ID,Station,Group,Individual,Length_mm,Width_mm,Height_mm,Lab_weight,Bag_weight,Final_Weight,Comments
Post,Freezer  ,Pacific,MID-P1-01,MID,P1,1,28.4,,,5.9096,1.9054,4.0042,
Post,Freezer  ,Pacific,MID-P1-02,MID,P1,2,29.9,,,5.9638,1.9054,4.0584,
Post,Freezer  ,Pacific,MID-P1-03,MID,P1,3,33.35,,,6.7846,1.9054,4.8792,
Post,Freezer  ,Pacific,MID-P1-04,MID,P1,4,43.5,,,9.0509,1.9054,7.1455,
Post,Freezer  ,Pacific,MID-P1-05,MID,P1,5,34.9,,,5.3632,1.9054,3.4578,
Post,Freezer  ,Pacific,MID-P1-06,MID,P1,6,32.95,,,7.1658,1.9054,5.2604,
Post,Freezer  ,Pacific,MID-P1-07,MID,P1,7,40.25,,,8.5497,1.9054,6.6443,
Post,Freezer  ,Pacific,MID-P1-08,MID,P1,8,38.25,,,7.3092,1.9054,5.4038,
Post,Freezer  ,Pacific,MID-P1-09,MID,P1,9,36.3,,,6.3905,1.9054,4.4851,
Post,Freezer  ,Olympia,OUT-O3-01,OUT,O3,1,17.2,,,2.612,1.9054,0.7066,
Post,Freezer  ,Olympia,OUT-O3-02,OUT,O3,2,24.15,,,3.6988,1.9054,1.7934,
Post,Freezer  ,Olympia,OUT-O3-03,OUT,O3,3,19.7,,,3.2623,1.9054,1.3569,
Post,Freezer  ,Olympia,OUT-O3-04,OUT,O3,4,17.65,,,2.9335,1.9054,1.0281,
Post,Freezer  ,Olympia,OUT-O3-05,OUT,O3,5,20.1,,,2.9118,1.9054,1.0064,
Post,Freezer  ,Olympia,OUT-O3-06,OUT,O3,6,17.7,,,2.7445,1.9054,0.8391,
Post,Freezer  ,Olympia,OUT-O3-07,OUT,O3,7,23.6,,,3.6722,1.9054,1.7668,
Post,Freezer  ,Olympia,OUT-O3-08,OUT,O3,8,21.85,,,3.2733,1.9054,1.3679,
Post,Freezer  ,Olympia,OUT-O3-09,OUT,O3,9,17,,,2.63,1.9054,0.7246,
Post,Freezer  ,Olympia,OUT-O3-10,OUT,O3,10,22,,,3.0632,1.9054,1.1578,
Post,Freezer  ,Olympia,OUT-O3-11,OUT,O3,11,22.45,,,3.391,1.9054,1.4856,
Post,Freezer  ,Olympia,OUT-O3-12,OUT,O3,12,18.05,,,2.8601,1.9054,0.9547,
Post,Freezer  ,Pacific,EDG-P3-01,EDG,P3,1,33.4,,,6.0148,1.9054,4.1094,
Post,Freezer  ,Pacific,EDG-P3-02,EDG,P3,2,32.85,,,6.2853,1.9054,4.3799,
Post,Freezer  ,Pacific,EDG-P3-03,EDG,P3,3,35.7,,,5.9874,1.9054,4.082,
Post,Freezer  ,Pacific,EDG-P3-04,EDG,P3,4,31.25,,,4.9492,1.9054,3.0438,
Post,Freezer  ,Pacific,EDG-P3-05,EDG,P3,5,29,,,5.1724,1.9054,3.267,
Post,Freezer  ,Pacific,EDG-P3-06,EDG,P3,6,26.7,,,4.3728,1.9054,2.4674,
Post,Freezer  ,Pacific,EDG-P3-07,EDG,P3,7,28.45,,,4.5408,1.9054,2.6354,
Post,Freezer  ,Pacific,EDG-P3-08,EDG,P3,8,35.45,,,5.8255,1.9054,3.9201,
Post,Freezer  ,Pacific,EDG-P3-09,EDG,P3,9,29.95,,,5.202,1.9054,3.2966,
Post,Freezer  ,Pacific,EDG-P3-10,EDG,P3,10,36.05,,,6.8816,1.9054,4.9762,
Post,Freezer  ,Pacific,EDG-P3-11,EDG,P3,11,27.45,,,5.1088,1.9054,3.2034,
Post,Freezer  ,Pacific,EDG-P3-12,EDG,P3,12,35.55,,,5.6793,1.9054,3.7739,
Post,Freezer  ,Pacific,EDG-P3-13,EDG,P3,13,36.35,,,7.5746,1.9054,5.6692,
Post,Freezer  ,Pacific,EDG-P3-14,EDG,P3,14,34.6,,,5.6365,1.9054,3.7311,
Post,Freezer  ,Pacific,BIG-UNK-01,MID,P3,1,32.6,,,4.9617,1.9054,3.0563,Container was unlabeled; station and group are unknown
Post,Freezer  ,Pacific,BIG-UNK-02,MID,P3,2,34.9,,,6.8429,1.9054,4.9375,Container was unlabeled; station and group are unknown
Post,Freezer  ,Pacific,BIG-UNK-03,MID,P3,3,41.3,,,9.3308,1.9054,7.4254,Container was unlabeled; station and group are unknown
Post,Freezer  ,Pacific,BIG-UNK-04,MID,P3,4,34.3,,,6.4121,1.9054,4.5067,Container was unlabeled; station and group are unknown
Post,Freezer  ,Pacific,BIG-UNK-05,MID,P3,5,33.65,,,6.0012,1.9054,4.0958,Container was unlabeled; station and group are unknown
Post,Freezer  ,Pacific,BIG-UNK-06,MID,P3,6,44.2,,,9.7466,1.9054,7.8412,Container was unlabeled; station and group are unknown
Post,Freezer  ,Pacific,BIG-UNK-07,MID,P3,7,35.5,,,7.1939,1.9054,5.2885,Container was unlabeled; station and group are unknown
Post,Freezer  ,Pacific,BIG-UNK-08,MID,P3,8,33.8,,,6.0569,1.9054,4.1515,Container was unlabeled; station and group are unknown
Post,Freezer  ,Olympia,MID-O2-01,MID,O2,1,16,,,2.6037,1.9054,0.6983,
Post,Freezer  ,Olympia,MID-O2-02,MID,O2,2,21.45,,,3.3917,1.9054,1.4863,
Post,Freezer  ,Olympia,MID-O2-03,MID,O2,3,19.25,,,3.0094,1.9054,1.104,
Post,Freezer  ,Olympia,MID-O2-04,MID,O2,4,23.2,,,3.4206,1.9054,1.5152,
Post,Freezer  ,Olympia,MID-O2-05,MID,O2,5,24.3,,,3.6652,1.9054,1.7598,
Post,Freezer  ,Olympia,MID-O2-06,MID,O2,6,19,,,2.8488,1.9054,0.9434,
Post,Freezer  ,Olympia,MID-O2-07,MID,O2,7,16.05,,,2.6035,1.9054,0.6981,
Post,Freezer  ,Olympia,MID-O2-08,MID,O2,8,16.6,,,2.6671,1.9054,0.7617,
Post,Freezer  ,Olympia,MID-O2-09,MID,O2,9,17.65,,,2.721,1.9054,0.8156,
Post,Freezer  ,Olympia,MID-O2-10,MID,O2,10,22.7,,,3.6169,1.9054,1.7115,
Post,Freezer  ,Olympia,MID-O2-11,MID,O2,11,16.6,,,2.5192,1.9054,0.6138,
Post,Freezer  ,Olympia,MID-O2-12,MID,O2,12,22.45,,,3.451,1.9054,1.5456,
Post,Freezer  ,Olympia,EDG-O1-01,EDG,O1,1,18.35,,,2.7783,1.9054,0.8729,
Post,Freezer  ,Olympia,EDG-O1-02,EDG,O1,2,19.2,,,2.7827,1.9054,0.8773,
Post,Freezer  ,Olympia,EDG-O1-03,EDG,O1,3,19.9,,,2.8344,1.9054,0.929,
Post,Freezer  ,Olympia,EDG-O1-04,EDG,O1,4,21.55,,,2.884,1.9054,0.9786,
Post,Freezer  ,Olympia,EDG-O1-05,EDG,O1,5,20.9,,,3.0294,1.9054,1.124,
Post,Freezer  ,Olympia,EDG-O1-06,EDG,O1,6,20,,,2.801,1.9054,0.8956,
Post,Freezer  ,Olympia,EDG-O1-07,EDG,O1,7,22,,,3.6412,1.9054,1.7358,
Post,Freezer  ,Olympia,EDG-O1-08,EDG,O1,8,20.15,,,2.8905,1.9054,0.9851,
Post,Freezer  ,Olympia,EDG-O1-09,EDG,O1,9,19.35,,,3.3403,1.9054,1.4349,
Post,Freezer  ,Olympia,EDG-O1-10,EDG,O1,10,23.55,,,3.8967,1.9054,1.9913,
Post,Freezer  ,Olympia,EDG-O1-11,EDG,O1,11,18.05,,,2.5593,1.9054,0.6539,
Post,Freezer  ,Olympia,EDG-O1-12,EDG,O1,12,19.35,,,2.7886,1.9054,0.8832,
Post,Freezer  ,Olympia,EDG-O1-13,EDG,O1,13,16.8,,,2.5464,1.9054,0.641,
Post,Freezer  ,Pacific,OUT-P3-01,OUT,P3,1,37.65,,,7.8634,1.9054,5.958,
Post,Freezer  ,Pacific,OUT-P3-02,OUT,P3,2,29.1,,,5.5842,1.9054,3.6788,
Post,Freezer  ,Pacific,OUT-P3-03,OUT,P3,3,38.75,,,7.7245,1.9054,5.8191,
Post,Freezer  ,Pacific,OUT-P3-04,OUT,P3,4,35.1,,,7.3795,1.9054,5.4741,
Post,Freezer  ,Pacific,OUT-P3-05,OUT,P3,5,39.15,,,7.666,1.9054,5.7606,
Post,Freezer  ,Olympia,EDG-O3-01,EDG,O3,1,18,,,2.6859,1.9054,0.7805,
Post,Freezer  ,Olympia,EDG-O3-02,EDG,O3,2,18.3,,,2.8732,1.9054,0.9678,
Post,Freezer  ,Olympia,EDG-O3-03,EDG,O3,3,17.25,,,2.7846,1.9054,0.8792,
Post,Freezer  ,Olympia,EDG-O3-04,EDG,O3,4,16.6,,,2.5114,1.9054,0.606,
Post,Freezer  ,Olympia,EDG-O3-05,EDG,O3,5,15.95,,,2.6001,1.9054,0.6947,
Post,Freezer  ,Pacific,EDG-P2-01,EDG,P2,1,34.25,,,6.0396,1.9054,4.1342,
Post,Freezer  ,Pacific,EDG-P2-02,EDG,P2,2,31.65,,,4.4749,1.9054,2.5695,
Post,Freezer  ,Pacific,EDG-P2-03,EDG,P2,3,39.65,,,6.7214,1.9054,4.816,
Post,Freezer  ,Pacific,EDG-P2-04,EDG,P2,4,37.95,,,6.216,1.9054,4.3106,
Post,Freezer  ,Pacific,EDG-P2-05,EDG,P2,5,37.25,,,6.2861,1.9054,4.3807,
Post,Freezer  ,Pacific,EDG-P2-06,EDG,P2,6,35.65,,,5.4873,1.9054,3.5819,
Post,Freezer  ,Pacific,EDG-P2-07,EDG,P2,7,32.4,,,6.3491,1.9054,4.4437,
Post,Freezer  ,Pacific,EDG-P2-08,EDG,P2,8,31.95,,,4.9705,1.9054,3.0651,
Post,Freezer  ,Pacific,EDG-P2-09,EDG,P2,9,34.15,,,5.1884,1.9054,3.283,
Post,Freezer  ,Pacific,EDG-P2-10,EDG,P2,10,34.7,,,4.9099,1.9054,3.0045,
Post,Freezer  ,Pacific,EDG-P2-11,EDG,P2,11,40.2,,,6.9204,1.9054,5.015,
Post,Freezer  ,Pacific,EDG-P2-12,EDG,P2,12,28.35,,,4.7093,1.9054,2.8039,
Post,Freezer  ,Pacific,EDG-P2-13,EDG,P2,13,30.65,,,5.0657,1.9054,3.1603,
Post,Freezer  ,Pacific,EDG-P2-14,EDG,P2,14,35.85,,,5.4871,1.9054,3.5817,
Post,Freezer  ,Pacific,EDG-P2-15,EDG,P2,15,32.75,,,5.1418,1.9054,3.2364,
Post,Ethanol,Olympia,EDG-O2-01,EDG,O2,1,14.65,,,0.4384,,0.4384,
Post,Ethanol,Olympia,EDG-O2-02,EDG,O2,2,18.2,,,0.737,,0.737,
Post,Ethanol,Olympia,EDG-O2-03,EDG,O2,3,14.2,,,0.3236,,0.3236,
Post,Ethanol,Olympia,EDG-O2-04,EDG,O2,4,22.7,,,1.0484,,1.0484,
Post,Ethanol,Olympia,EDG-O2-05,EDG,O2,5,18.05,,,0.5669,,0.5669,
Post,Ethanol,Olympia,EDG-O2-06,EDG,O2,6,19.55,,,0.5924,,0.5924,
Post,Ethanol,Olympia,EDG-O2-07,EDG,O2,7,21.35,,,0.7965,,0.7965,
Post,Ethanol,Olympia,EDG-O2-08,EDG,O2,8,18,,,0.7804,,0.7804,
Post,Ethanol,Olympia,EDG-O2-09,EDG,O2,9,18.55,,,0.543,,0.543,
Post,Ethanol,Olympia,EDG-O2-10,EDG,O2,10,17.35,,,0.5322,,0.5322,
Post,Ethanol,Olympia,EDG-O2-11,EDG,O2,11,20.5,,,1.0156,,1.0156,
Post,Ethanol,Olympia,EDG-O2-12,EDG,O2,12,19.25,,,0.7306,,0.7306,
Post,Ethanol,Olympia,EDG-O2-13,EDG,O2,13,18.6,,,0.7179,,0.7179,
Post,Ethanol,Pacific,OUT-P2-05,OUT,P2,5,31.35,,,2.7834,,2.7834,
Post,Ethanol,Pacific,OUT-P2-06,OUT,P2,6,39.15,,,5.0591,,5.0591,
Post,Ethanol,Pacific,OUT-P2-07,OUT,P2,7,36.35,,,4.3335,,4.3335,
Post,Ethanol,Pacific,OUT-P2-08,OUT,P2,8,30.7,,,3.2675,,3.2675,
Post,Ethanol,Pacific,OUT-P2-09,OUT,P2,9,27.9,,,3.2334,,3.2334,
Post,Ethanol,Pacific,OUT-P2-11,OUT,P2,11,35.5,,,4.1979,,4.1979,
Post,Ethanol,Pacific,OUT-P2-12,OUT,P2,12,30.55,,,2.7036,,2.7036,
Post,Ethanol,Pacific,OUT-P2-13,OUT,P2,13,31.7,,,3.1172,,3.1172,
Post,Ethanol,Pacific,OUT-P2-14,OUT,P2,14,29.75,,,2.7748,,2.7748,
Post,Ethanol,Pacific,OUT-P2-10,OUT,P2,10,33.7,,,3.6325,,3.6325,
Post,Ethanol,Olympia,EDG-O3-01,EDG,O3,1,23.55,,,1.1132,,1.1132,
Post,Ethanol,Olympia,EDG-O3-02,EDG,O3,2,22.1,,,1.1419,,1.1419,
Post,Ethanol,Olympia,EDG-O3-03,EDG,O3,3,19.7,,,0.8431,,0.8431,
Post,Ethanol,Olympia,EDG-O3-04,EDG,O3,4,21.55,,,1.0647,,1.0647,
Post,Ethanol,Olympia,EDG-O3-05,EDG,O3,5,15.35,,,0.3794,,0.3794,
Post,Ethanol,Olympia,EDG-O3-06,EDG,O3,6,21.05,,,0.8483,,0.8483,
Post,Ethanol,Olympia,EDG-O3-07,EDG,O3,7,19.3,,,0.8043,,0.8043,
Post,Ethanol,Olympia,MID-O3-01,MID,O3,1,38.45,,,4.0195,,4.0195,
Post,Ethanol,Olympia,MID-O3-02,MID,O3,2,37.95,,,4.9546,,4.9546,
Post,Ethanol,Olympia,MID-O3-03,MID,O3,3,28.1,,,1.5794,,1.5794,
Post,Ethanol,Olympia,MID-O3-04,MID,O3,4,34.95,,,3.5463,,3.5463,
Post,Ethanol,Olympia,MID-O3-05,MID,O3,5,33.35,,,4.2286,,4.2286,
Post,Ethanol,Olympia,MID-O3-06,MID,O3,6,34.15,,,4.0081,,4.0081,
Post,Ethanol,Olympia,MID-O3-07,MID,O3,7,31.3,,,3.1402,,3.1402,
Post,Ethanol,Olympia,MID-O3-08,MID,O3,8,32.1,,,2.371,,2.371,
Post,Ethanol,Olympia,MID-O3-09,MID,O3,9,33.4,,,3.3627,,3.3627,
Post,Ethanol,Olympia,MID-O3-10,MID,O3,10,30.85,,,3.1961,,3.1961,
Post,Ethanol,Olympia,MID-O3-11,MID,O3,11,29.75,,,2.2159,,2.2159,
Post,Ethanol,Olympia,MID-O3-12,MID,O3,12,32.4,,,3.2079,,3.2079,
Post,Ethanol,Olympia,MID-O3-13,MID,O3,13,33.05,,,3.0933,,3.0933,
Post,Ethanol,Olympia,MID-O3-14,MID,O3,14,33.2,,,3.2132,,3.2132,
Post,Ethanol,Olympia,MID-O3-15,MID,O3,15,30.55,,,2.5194,,2.5194,
Post,Ethanol,Olympia,MID-O3-16,MID,O3,16,20.1,,,1.1239,,1.1239,
Post,Ethanol,Olympia,MID-O3-17,MID,O3,17,20,,,0.9814,,0.9814,
Post,Ethanol,Olympia,MID-O3-18,MID,O3,18,23.15,,,1.4619,,1.4619,
Post,Ethanol,Olympia,MID-O1-01,MID,O1,1,16.85,,,0.589,,0.589,
Post,Ethanol,Olympia,MID-O1-02,MID,O1,2,15.95,,,0.5301,,0.5301,
Post,Ethanol,Olympia,MID-O1-03,MID,O1,3,18.6,,,0.8899,,0.8899,
Post,Ethanol,Olympia,MID-O1-04,MID,O1,4,22.2,,,1.7512,,1.7512,
Post,Ethanol,Olympia,MID-O1-05,MID,O1,5,20.35,,,0.9169,,0.9169,
Post,Ethanol,Olympia,MID-O1-06,MID,O1,6,22.85,,,1.2501,,1.2501,
Post,Ethanol,Olympia,MID-O1-07,MID,O1,7,23.85,,,1.2955,,1.2955,
Post,Ethanol,Olympia,MID-O1-08,MID,O1,8,20.3,,,0.9977,,0.9977,
Post,Ethanol,Olympia,MID-O1-09,MID,O1,9,24.15,,,1.2612,,1.2612,
Post,Ethanol,Olympia,MID-O1-10,MID,O1,10,17.9,,,0.5516,,0.5516,
Post,Ethanol,Olympia,MID-O1-11,MID,O1,11,21.3,,,0.9754,,0.9754,
Post,Ethanol,Olympia,MID-O1-12,MID,O1,12,20.5,,,1.0697,,1.0697,
Post,Ethanol,Olympia,MID-O1-13,MID,O1,13,19.55,,,0.9797,,0.9797,
Post,Ethanol,Olympia,MID-O1-14,MID,O1,14,22,,,1.0857,,1.0857,
Post,Ethanol,Olympia,MID-O1-15,MID,O1,15,23.8,,,1.5116,,1.5116,
Post,Ethanol,Olympia,OUT-O2-01,OUT,O2,1,20.95,,,1.4501,,1.4501,
Post,Ethanol,Olympia,OUT-O2-02,OUT,O2,2,19.15,,,1.2109,,1.2109,
Post,Ethanol,Olympia,OUT-O2-03,OUT,O2,3,20,,,1.0106,,1.0106,
Post,Ethanol,Olympia,OUT-O2-04,OUT,O2,4,22.25,,,1.2659,,1.2659,
Post,Ethanol,Olympia,OUT-O2-05,OUT,O2,5,18.85,,,1.0021,,1.0021,
Post,Ethanol,Olympia,OUT-O2-06,OUT,O2,6,21.65,,,1.1513,,1.1513,
Post,Ethanol,Olympia,OUT-O2-07,OUT,O2,7,20.25,,,0.834,,0.834,
Post,Ethanol,Olympia,OUT-O2-08,OUT,O2,8,20,,,1.3077,,1.3077,
Post,Ethanol,Olympia,OUT-O2-09,OUT,O2,9,22.95,,,1.2844,,1.2844,
Post,Ethanol,Pacific,OUT-P1-01,OUT,P1,1,30.2,,,2.5559,,2.5559,
Post,Ethanol,Pacific,OUT-P1-02,OUT,P1,2,41.45,,,5.0451,,5.0451,
Post,Ethanol,Pacific,OUT-P1-03,OUT,P1,3,38.05,,,6.0125,,6.0125,
Post,Ethanol,Pacific,OUT-P1-04,OUT,P1,4,30.65,,,3.2381,,3.2381,
Post,Ethanol,Pacific,OUT-P1-05,OUT,P1,5,31.45,,,4.0397,,4.0397,
Post,Ethanol,Pacific,OUT-P1-06,OUT,P1,6,36.45,,,3.536,,3.536,
Post,Ethanol,Pacific,OUT-P1-07,OUT,P1,7,36.1,,,4.0682,,4.0682,
Post,Ethanol,Pacific,OUT-P1-08,OUT,P1,8,32.95,,,3.7555,,3.7555,
Post,Ethanol,Pacific,OUT-P1-09,OUT,P1,9,33.85,,,2.778,,2.778,
Post,Ethanol,Pacific,OUT-P1-10,OUT,P1,10,42,,,4.9354,,4.9354,
Post,Ethanol,Pacific,OUT-P2-01,OUT,P2,1,33.65,,,4.0107,,4.0107,
Post,Ethanol,Pacific,OUT-P2-02,OUT,P2,2,39.45,,,3.8011,,3.8011,
Post,Ethanol,Pacific,OUT-P2-03,OUT,P2,3,34.7,,,4.143,,4.143,
Post,Ethanol,Pacific,OUT-P2-04,OUT,P2,4,36.6,,,4.814,,4.814,
Post,Ethanol,Pacific,MID-P2-01,MID,P2,1,33.35,,,4.1371,,4.1371,
Post,Ethanol,Pacific,MID-P2-02,MID,P2,2,40.9,,,5.1438,,5.1438,
Post,Ethanol,Pacific,MID-P2-03,MID,P2,3,27.5,,,1.9465,,1.9465,
Post,Ethanol,Pacific,MID-P2-04,MID,P2,4,31.25,,,2.2373,,2.2373,
Post,Ethanol,Pacific,MID-P2-05,MID,P2,5,31.15,,,2.488,,2.488,
Post,Ethanol,Pacific,MID-P2-06,MID,P2,6,29,,,2.1049,,2.1049,
Post,Ethanol,Pacific,MID-P2-07,MID,P2,7,33.75,,,3.6571,,3.6571,
Post,Ethanol,Pacific,MID-P2-08,MID,P2,8,34.9,,,3.8081,,3.8081,
Post,Ethanol,Pacific,MID-P2-09,MID,P2,9,31.65,,,4.1951,,4.1951,
Post,Ethanol,Pacific,MID-P2-10,MID,P2,10,32.5,,,3.9308,,3.9308,
Post,Ethanol,Pacific,MID-P2-11,MID,P2,11,35,,,3.6554,,3.6554,
Post,Ethanol,Pacific,MID-P2-12,MID,P2,12,36.6,,,5.0562,,5.0562,
Post,Ethanol,Pacific,MID-P2-13,MID,P2,13,31.55,,,2.7587,,2.7587,
Post,Ethanol,Pacific,MID-P2-14,MID,P2,14,30.15,,,3.383,,3.383,
Post,Ethanol,Pacific,MID-P2-15,MID,P2,15,35.35,,,3.0445,,3.0445,
Post,Ethanol,Pacific,MID-P1-01,MID,P1,1,31.95,,,3.2804,,3.2804,
Post,Ethanol,Pacific,MID-P1-02,MID,P1,2,35.05,,,3.8499,,3.8499,
Post,Ethanol,Pacific,MID-P1-03,MID,P1,3,33.75,,,4.1614,,4.1614,
Post,Ethanol,Pacific,MID-P1-04,MID,P1,4,33.05,,,3.0687,,3.0687,
Post,Ethanol,Pacific,MID-P1-05,MID,P1,5,31.9,,,2.1727,,2.1727,
Post,Ethanol,Pacific,MID-P1-06,MID,P1,6,29.25,,,2.7412,,2.7412,
Post,Ethanol,Pacific,EDG-P1-01,EDG,P1,1,34.75,,,3.7867,,3.7867,
Post,Ethanol,Pacific,EDG-P1-02,EDG,P1,2,32.2,,,2.9261,,2.9261,
Post,Ethanol,Pacific,EDG-P1-03,EDG,P1,3,35.5,,,3.4315,,3.4315,
Post,Ethanol,Pacific,EDG-P1-04,EDG,P1,4,28.1,,,3.1846,,3.1846,
Post,Ethanol,Pacific,EDG-P1-05,EDG,P1,5,42.65,,,6.184,,6.184,
Post,Ethanol,Pacific,EDG-P1-06,EDG,P1,6,37,,,3.533,,3.533,
Post,Ethanol,Pacific,EDG-P1-07,EDG,P1,7,34.6,,,3.379,,3.379,
Post,Ethanol,Pacific,EDG-P1-08,EDG,P1,8,32.5,,,3.7432,,3.7432,
Post,Ethanol,Pacific,EDG-P1-09,EDG,P1,9,34.75,,,3.4183,,3.4183,
Post,Ethanol,Pacific,EDG-P1-10,EDG,P1,10,28.3,,,1.6607,,1.6607,
Post,Ethanol,Pacific,EDG-P1-11,EDG,P1,11,33.55,,,2.6277,,2.6277,
Post,Ethanol,Pacific,EDG-P1-12,EDG,P1,12,30.55,,,2.1279,,2.1279,
Post,Ethanol,Pacific,EDG-P1-13,EDG,P1,13,29.05,,,2.1422,,2.1422,
Post,Ethanol,Pacific,EDG-P1-14,EDG,P1,14,28.2,,,1.8992,,1.8992,
Post,Ethanol,Pacific,EDG-P1-15,EDG,P1,15,31.3,,,2.5857,,2.5857,
Post,Ethanol,Mussels,Kelp-Mussels-01,Kelp-Mussels,,1,17.5,10.6,6.85,0.4569,,0.4569,
Post,Ethanol,Mussels,Kelp-Mussels-02,Kelp-Mussels,,2,24.95,14.05,8.8,1.1083,,1.1083,
Post,Ethanol,Mussels,Kelp-Mussels-03,Kelp-Mussels,,3,32.5,17.25,13.85,2.6367,,2.6367,
Post,Ethanol,Mussels,Kelp-Mussels-04,Kelp-Mussels,,4,37.95,20.35,15.25,3.6272,,3.6272,
Post,Ethanol,Mussels,Kelp-Mussels-05,Kelp-Mussels,,5,41.7,22.2,16,4.8866,,4.8866,
Post,Ethanol,Mussels,Kelp-Mussels-06,Kelp-Mussels,,6,33.6,19.1,11.65,2.9409,,2.9409,
Post,Ethanol,Mussels,Kelp-Mussels-07,Kelp-Mussels,,7,37.4,22,18.9,4.9397,,4.9397,
Post,Ethanol,Mussels,Kelp-Mussels-08,Kelp-Mussels,,8,39.15,20.9,15.45,3.944,,3.944,
Post,Ethanol,Mussels,Kelp-Mussels-09,Kelp-Mussels,,9,37.6,20.2,17.1,3.9416,,3.9416,
Post,Ethanol,Mussels,Kelp-Mussels-10,Kelp-Mussels,,10,16.35,21.1,17.35,3.7536,,3.7536,
